Zone,Vaccine,Gap_From_Target,# Unvaccinated,# Eligible,% Coverage
CENTRAL,HBV - Dose 2,0.236,6061,21269,0.714
CENTRAL,HPV - Dose 3,0.225,1646,5994,0.725
EASTERN,HPV - Dose 3,0.182,581,2500,0.768
WESTERN,HPV - Dose 3,0.1793,641,2802,0.7707
WESTERN,HBV,0.175,2025,8977,0.775
EASTERN,HBV - Dose 2,0.1748,1887,8400,0.7752
WESTERN,HBV - Dose 2,0.1658,2084,9659,0.7842
WESTERN,HPV,0.1646,1932,8977,0.7854
EASTERN,HBV,0.1644,1589,7373,0.7856
EASTERN,HPV,0.1615,1570,7373,0.7885
WESTERN,HPV - Dose 2,0.1538,1403,6687,0.7962
EASTERN,HPV - Dose 2,0.141,1163,5857,0.809
CENTRAL,HBV,0.1383,4019,20914,0.8117
NORTHERN,HBV,0.1369,1436,7634,0.8131
NORTHERN,HPV,0.1335,1407,7634,0.8165
CENTRAL,HPV - Dose 2,0.1258,2771,14980,0.8242
NORTHERN,HPV - Dose 3,0.124,402,2313,0.826
CENTRAL,HPV,0.1236,3713,20914,0.8264
NORTHERN,HBV - Dose 2,0.1096,1246,7821,0.8404
CENTRAL,HBV - Dose 1,0.102,3213,21269,0.848
EASTERN,TDAP,0.096,2286,15773,0.854
WESTERN,HPV - Dose 1,0.096,957,6687,0.854
EASTERN,HPV - Dose 1,0.095,842,5857,0.855
EASTERN,HBV - Dose 1,0.0942,1212,8400,0.8558
NORTHERN,HPV - Dose 2,0.0832,735,5435,0.8668
WESTERN,HBV - Dose 1,0.0758,1220,9659,0.8742
EASTERN,MEN-C-ACYW-135,0.0681,1264,10730,0.8819
WESTERN,TDAP,0.0655,2124,18636,0.8845
CENTRAL,HPV - Dose 1,0.0506,1454,14980,0.8994
EASTERN,MEN-C-C,0.0503,508,5043,0.8997
WESTERN,MEN-C-ACYW-135,0.0476,1251,12862,0.9024
CENTRAL,TDAP,0.0442,4024,42183,0.9058
NORTHERN,TDAP,0.0403,1402,15455,0.9097
NORTHERN,HPV - Dose 1,0.0382,455,5435,0.9118
NORTHERN,HBV - Dose 1,0.0344,666,7821,0.9156
NORTHERN,MEN-C-ACYW-135,0.0244,805,10756,0.9256
CENTRAL,MEN-C-ACYW-135,0.023,2211,29900,0.927
CENTRAL,MEN-C-C,0.0197,860,12283,0.9303
WESTERN,MEN-C-C,0.019,398,5774,0.931
NORTHERN,MEN-C-C,-0.0023,226,4699,0.9523
