Year_Start,% Coverage,# Eligible,# Immunized,Gap_From_Target,Overall_Coverage,YoY_Change
2012,0.8516,52235,44862,0.0984,0.8588494304585048,
2013,0.85,50593,43323,0.1,0.8563042318107248,-0.0025451986477800226
2014,0.8511,49195,42272,0.0989,0.8592743164955788,0.0029700846848540463
2015,0.8723,61518,53662,0.0777,0.8722975389316948,0.013023222436115978
2016,0.8608,54582,46979,0.0892,0.860704994320472,-0.011592544611222833
2017,0.8832,31820,28102,0.0668,0.8831552482715274,0.022450253951055377
2018,0.8762,36208,31726,0.0738,0.8762152010605391,-0.006940047210988287
2019,0.8215,36788,30221,0.1285,0.8214907034902685,-0.054724497570270536
2020,0.7796,38132,29726,0.1704,0.7795552292038184,-0.04193547428645017
2021,0.839,37372,31356,0.111,0.8390238681365728,0.05946863893275445
